Lat,Lat_MIn,Lon,Lon_Min,Thru
47,20.5139,106,34.9162,2.64
47,20.2782,106,35.3807,2.76
47,20.2245,106,35.4797,2.56
47,20.1198,106,35.6928,2.79
47,19.9328,106,36.062,2.64
47,19.7424,106,36.4752,2.66
47,19.7208,106,36.9899,2.64
47,19.7483,106,37.5445,2.75
47,19.7852,106,38.1107,2.75
47,19.9554,106,38.9801,2.66
47,20.1383,106,39.8956,2.78
47,20.1944,106,40.8221,2.71
47,20.1025,106,41.7471,2.64
47,19.966,106,42.6868,2.79
47,19.8957,106,43.6071,2.32
47,19.91,106,44.5553,2.34
47,19.8907,106,45.4928,2.4
47,19.7927,106,46.4335,2.83
47,19.8238,106,47.3858,2.63
47,19.8898,106,48.335,2.66
47,19.9543,106,49.2718,NULL
47,20.0195,106,50.2209,2.4
47,19.9761,106,51.1652,2.76
47,19.7994,106,52.0802,2.49
47,19.6587,106,53.0092,2.49
47,19.5845,106,53.9544,2.36
47,19.4506,106,54.5876,2.6
47,19.2074,106,54.6017,2.6
47,19.104,106,54.5919,2.77
47,19.104,106,54.592,2.81
47,19.104,106,54.592,2.64
47,19.104,106,54.5919,2.77
47,19.1041,106,54.5917,2.71
47,19.1041,106,54.5917,2.7
47,19.1041,106,54.5916,2.7
47,19.1042,106,54.5916,2.68
47,19.1042,106,54.5916,2.65
47,19.1042,106,54.5916,2.71
47,19.1042,106,54.5916,2.73
47,19.1043,106,54.5916,2.79
47,19.1043,106,54.5917,2.68
47,19.1043,106,54.5917,2.77
47,19.1043,106,54.5917,2.77
47,19.1044,106,54.5915,2.8
47,19.1044,106,54.5915,2.56
47,19.1044,106,54.5915,2.64
47,19.1044,106,54.5915,2.77
47,19.1044,106,54.5917,2.79
47,19.0855,106,54.5987,2.7
47,18.7528,106,54.6137,2.76
47,18.54,106,55.2906,2.8
47,18.3601,106,56.1943,2.66
47,18.0944,106,57.1321,2.71
47,17.8181,106,58.1081,2.68
47,17.5418,106,59.1016,2.77
47,17.4116,106,59.9799,2.53
47,17.2651,107,0.9556,2.7
47,17.2651,107,0.9809,2.7
47,16.9168,107,1.832,2.79
47,16.5883,107,2.7392,2.51
47,16.2828,107,3.6506,2.62
47,16.0444,107,4.6233,2.73
47,15.8224,107,5.5974,2.64
47,15.5231,107,6.5243,2.71
47,15.2799,107,7.4925,2.67
47,14.7758,107,8.208,2.77
47,14.2643,107,8.9002,2.78
47,13.7502,107,9.5975,2.58
47,13.2958,107,10.3771,2.65
47,12.8479,107,11.1667,2.71
47,12.3877,107,11.9758,2.46
47,11.8334,107,12.6823,2.58
47,11.3734,107,13.5062,2.64
47,10.9851,107,14.3664,2.55
47,10.6101,107,15.2143,2.79
47,10.2427,107,16.099,2.81
47,9.9042,107,17.0017,2.69
47,9.5672,107,17.8853,2.58
47,9.1913,107,18.7587,NULL
47,8.7094,107,19.5092,2.42
47,8.2939,107,20.3071,2.8
47,8.3025,107,20.3071,2.8
47,8.2939,107,20.3293,2.8
47,8.3025,107,20.3293,2.8
47,8.0508,107,21.2649,2.68
47,8.05,107,22.2773,2.48
47,7.8676,107,23.2751,2.77
47,7.6314,107,24.2428,2.32
47,7.3954,107,25.2087,2.33
47,7.0891,107,26.1407,2.66
47,6.7311,107,27.0741,2.59
47,6.3873,107,28.0931,2.79
47,6.0483,107,29.1277,2.75
47,5.738,107,30.075,2.71
47,5.4357,107,30.9933,2.62
47,5.167,107,31.9638,2.71
47,4.9931,107,32.9388,2.78
47,4.8155,107,33.9264,2.59
47,4.4244,107,34.7755,2.68
47,3.8995,107,35.4393,2.85
47,3.4456,107,36.1734,2.56
47,3.1384,107,37.0972,2.43
47,2.9029,107,38.0625,2.73
47,2.766,107,39.0688,2.6
47,2.5892,107,40.0876,2.62
47,2.2614,107,40.9622,2.84
47,1.9037,107,41.8413,2.66
47,1.5571,107,42.7158,2.73
47,1.338,107,43.6914,2.75
47,1.0389,107,44.621,2.73
47,0.7146,107,45.5321,2.48
47,0.3897,107,46.4461,2.59
47,0.0652,107,47.3583,2.75
46,59.821,107,48.3156,2.79
46,59.6376,107,49.3071,2.71
46,59.2471,107,50.1505,2.54
46,59.2821,107,51.1514,2.82
46,59.4406,107,52.0434,2.68
46,59.6155,107,52.9449,2.68
46,59.6613,107,53.9004,2.77
46,59.6676,107,54.8629,2.71
46,59.6739,107,55.822,1.01
46,59.664,107,56.7579,NULL
46,59.6006,107,57.7167,2.73
46,59.8396,107,58.6111,2.42
47,0.0781,107,59.4948,2.29
47,0.384,108,0.3419,2.66
47,0.6957,108,1.2,2.77
47,0.7518,108,2.1476,2.62
47,0.7672,108,3.1016,2.3
47,0.9479,108,4.0289,2.66
47,0.9001,108,4.9827,2.61
47,0.7542,108,5.9273,2.72
47,0.7538,108,6.8946,2.42
47,0.7594,108,7.9407,2.73
47,0.7668,108,8.9778,2.7
47,0.7422,108,9.9604,2.71
47,0.7544,108,10.9866,2.75
47,0.7545,108,12.0194,2.81
47,0.7198,108,12.9655,2.71
47,0.5357,108,13.9101,2.63
47,0.3095,108,14.903,2.51
47,0.2342,108,15.9356,2.83
47,0.1865,108,16.9779,2.62
47,0.3992,108,17.994,2.5
47,0.722,108,19.0123,2.64
47,0.7874,108,20.0391,2.69
47,0.7281,108,21.075,2.84
47,0.6866,108,22.1188,2.71
47,0.6909,108,23.162,2.73
47,0.6951,108,24.2078,2.5
47,0.7001,108,25.2524,2.42
47,0.7082,108,26.298,2.17
47,0.7218,108,27.4023,2.61
47,0.9704,108,28.4843,2.77
47,1.293,108,29.5346,2.64
47,1.6372,108,30.6374,2.65
47,1.8052,108,31.73,2.8
47,1.9737,108,32.8153,2.65
47,2.1359,108,33.9036,2.65
47,2.1917,108,35.0104,2.77
47,2.2479,108,36.1215,2.64
47,2.4053,108,37.1364,2.78
47,2.6216,108,38.0889,2.7
47,2.8346,108,39.0512,2.51
47,3.1053,108,39.9783,2.59
47,3.2643,108,40.8314,2.52
47,3.4179,108,41.8416,2.57
47,3.4651,108,42.8699,2.64
47,3.4639,108,43.9048,2.69
47,3.5096,108,44.9419,2.77
47,3.6307,108,45.8503,NULL
47,3.5338,108,46.6718,2.58
47,3.1766,108,47.5493,2.67
47,2.5337,108,47.9552,2.81
47,2.4353,108,48.1901,2.63
47,2.4729,108,48.8116,2.67
47,2.6317,108,49.6981,2.79
47,2.7057,108,50.7031,2.83
47,2.6855,108,51.7463,2.75
47,2.6667,108,52.7924,2.7
47,2.7759,108,53.8227,2.76
47,2.8771,108,54.7684,2.72
47,2.8813,108,55.7018,2.79
47,2.8836,108,56.6571,2.81
47,3.0167,108,57.5708,2.6
47,3.2981,108,58.4315,2.58
47,3.4346,108,59.3697,2.38
47,3.6275,109,0.2851,2.35
47,3.7314,109,1.2673,2.31
47,3.7254,109,2.3391,2.69
47,3.7194,109,3.3487,2.67
47,3.7269,109,4.3633,2.73
47,4.2227,109,4.3633,2.73
